SPACEPORT_REC_ID,POLYGON_ID,Interaction
2,83109,Intersect
2,83110,Intersect
2,84081,Intersect
2,84082,Intersect
2,84208,Intersect
2,84209,Intersect
2,84210,Intersect
2,84212,Intersect
2,84213,Intersect
2,84214,Intersect
2,84215,Intersect
2,84217,Intersect
2,84226,Intersect
2,84227,Intersect
2,84230,Intersect
2,84231,Intersect
2,84233,Intersect
2,84234,Intersect
2,84235,Intersect
2,84237,Intersect
2,84238,Intersect
2,84239,Intersect
2,84249,Intersect
2,84250,Intersect
2,84251,Intersect
2,84256,Intersect
2,84257,Intersect
2,84258,Intersect
2,84259,Intersect
2,84264,Intersect
2,85305,Intersect
2,85306,Intersect
2,85307,Intersect
2,85308,Intersect
2,85309,Intersect
2,85310,Intersect
2,85311,Intersect
2,85312,Intersect
2,85313,Intersect
2,85314,Intersect
2,85315,Intersect
2,85316,Intersect
2,87155,Intersect
2,87156,Intersect
2,87157,Intersect
2,87158,Intersect
2,87159,Intersect
2,87160,Intersect
2,94224,Intersect
2,95067,Intersect
2,95726,Intersect
2,95727,Intersect
2,95771,Intersect
2,95772,Intersect
2,95773,Intersect
2,95778,Intersect
2,95779,Intersect
2,95780,Intersect
2,95781,Intersect
2,95786,Intersect
2,95787,Intersect
2,95788,Intersect
2,95789,Intersect
2,95790,Intersect
2,95791,Intersect
2,95795,Intersect
2,95796,Intersect
2,95797,Intersect
2,95802,Intersect
2,95803,Intersect
2,95804,Intersect
2,95805,Intersect
2,95810,Intersect
2,95984,Intersect
2,95985,Intersect
2,95988,Intersect
2,95989,Intersect
2,95990,Intersect
2,95995,Intersect
2,95996,Intersect
2,95997,Intersect
2,96000,Intersect
2,96001,Intersect
2,96002,Intersect
2,96007,Intersect
2,96008,Intersect
2,96009,Intersect
2,96011,Intersect
2,96107,Intersect
2,96108,Intersect
2,96117,Intersect
2,96118,Intersect
2,96119,Intersect
2,96123,Intersect
2,96124,Intersect
2,96125,Intersect
2,96130,Intersect
2,96133,Intersect
2,96134,Intersect
2,96135,Intersect
2,96140,Intersect
2,96148,Intersect
2,96149,Intersect
2,96150,Intersect
2,96154,Intersect
2,96155,Intersect
2,98792,Intersect
2,98793,Intersect
2,98794,Intersect
2,98797,Intersect
2,98798,Intersect
2,99021,Intersect
2,99022,Intersect
2,99024,Intersect
2,99025,Intersect
2,99027,Intersect
2,102582,Intersect
2,102595,Intersect
2,102596,Intersect
2,102597,Intersect
2,102598,Intersect
2,102599,Intersect
2,102600,Intersect
2,102601,Intersect
2,102602,Intersect
2,102603,Intersect
2,103972,Intersect
2,104649,Intersect
2,105265,Intersect
2,105269,Intersect
2,105272,Intersect
2,105274,Intersect
2,105279,Intersect
2,105280,Intersect
2,105281,Intersect
2,105282,Intersect
2,105287,Intersect
2,105288,Intersect
2,105289,Intersect
2,105290,Intersect
2,105295,Intersect
2,105585,Intersect
2,105591,Intersect
2,105592,Intersect
2,105593,Intersect
2,105594,Intersect
2,105612,Intersect
2,105615,Intersect
2,105622,Intersect
2,105623,Intersect
2,105625,Intersect
2,106184,Intersect
2,106952,Intersect
2,106953,Intersect
2,106954,Intersect
