SPACEPORT_REC_ID,SPACEPORT_NAME,NOTAM_REC_ID
2,Cape Canaveral Air Force Station,49738
2,Cape Canaveral Air Force Station,49739
2,Cape Canaveral Air Force Station,49745
2,Cape Canaveral Air Force Station,49778
2,Cape Canaveral Air Force Station,49779
2,Cape Canaveral Air Force Station,49780
2,Cape Canaveral Air Force Station,49787
2,Cape Canaveral Air Force Station,49788
2,Cape Canaveral Air Force Station,49792
2,Cape Canaveral Air Force Station,49793
2,Cape Canaveral Air Force Station,49801
2,Cape Canaveral Air Force Station,54072
2,Cape Canaveral Air Force Station,54436
2,Cape Canaveral Air Force Station,54575
2,Cape Canaveral Air Force Station,56523
2,Cape Canaveral Air Force Station,56524
2,Cape Canaveral Air Force Station,56753
2,Cape Canaveral Air Force Station,56754
2,Cape Canaveral Air Force Station,56848
2,Cape Canaveral Air Force Station,56879
2,Cape Canaveral Air Force Station,56880
2,Cape Canaveral Air Force Station,56886
2,Cape Canaveral Air Force Station,56887
2,Cape Canaveral Air Force Station,56893
2,Cape Canaveral Air Force Station,56895
2,Cape Canaveral Air Force Station,56899
2,Cape Canaveral Air Force Station,56912
2,Cape Canaveral Air Force Station,56913
2,Cape Canaveral Air Force Station,56914
2,Cape Canaveral Air Force Station,56920
2,Cape Canaveral Air Force Station,56921
2,Cape Canaveral Air Force Station,56922
2,Cape Canaveral Air Force Station,56923
2,Cape Canaveral Air Force Station,56928
2,Cape Canaveral Air Force Station,65308
2,Cape Canaveral Air Force Station,65990
2,Cape Canaveral Air Force Station,65991
2,Cape Canaveral Air Force Station,65993
2,Cape Canaveral Air Force Station,66064
2,Cape Canaveral Air Force Station,66067
2,Cape Canaveral Air Force Station,66069
2,Cape Canaveral Air Force Station,68323
2,Cape Canaveral Air Force Station,68528
2,Cape Canaveral Air Force Station,68755
2,Cape Canaveral Air Force Station,75723
2,Cape Canaveral Air Force Station,76822
2,Cape Canaveral Air Force Station,76823
2,Cape Canaveral Air Force Station,80699
2,Cape Canaveral Air Force Station,80741
2,Cape Canaveral Air Force Station,81127
2,Cape Canaveral Air Force Station,81201
2,Cape Canaveral Air Force Station,83373
2,Cape Canaveral Air Force Station,83374
2,Cape Canaveral Air Force Station,84295
2,Cape Canaveral Air Force Station,84312
2,Cape Canaveral Air Force Station,84345
2,Cape Canaveral Air Force Station,86292
2,Cape Canaveral Air Force Station,90354
2,Cape Canaveral Air Force Station,90355
2,Cape Canaveral Air Force Station,90884
2,Cape Canaveral Air Force Station,90885
2,Cape Canaveral Air Force Station,90887
2,Cape Canaveral Air Force Station,90895
2,Cape Canaveral Air Force Station,90896
2,Cape Canaveral Air Force Station,90897
2,Cape Canaveral Air Force Station,90898
2,Cape Canaveral Air Force Station,90903
2,Cape Canaveral Air Force Station,93837
2,Cape Canaveral Air Force Station,93851
2,Cape Canaveral Air Force Station,94341
2,Cape Canaveral Air Force Station,94342
2,Cape Canaveral Air Force Station,94346
